Name,Profile URL
Mazhar Iqbal,https://pakmag.net/film/artist.php?pid=1
Inayat Ullah,https://pakmag.net/film/artist.php?pid=2
Samiya Mumtaz,https://pakmag.net/film/artist.php?pid=3
Ahmad Basheer,https://pakmag.net/film/artist.php?pid=4
Chodhary Khadim Hussain,https://pakmag.net/film/artist.php?pid=5
Mahira Khan,https://pakmag.net/film/artist.php?pid=6
Muhib Mirza,https://pakmag.net/film/artist.php?pid=7
Batish,https://pakmag.net/film/artist.php?pid=8
Bedar Bakht,https://pakmag.net/film/artist.php?pid=9
M.D. Sheikh,https://pakmag.net/film/artist.php?pid=10
